filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km
task_grid_44.56_60.65.kml,44.56,60.65,7140.7,23.74
task_grid_45.56_61.25.kml,45.56,61.25,7138.2,19.6
task_grid_44.66_61.15.kml,44.66,61.15,7136.0,1.21
task_grid_44.86_59.25.kml,44.86,59.25,7117.2,13.31
task_grid_44.66_61.35.kml,44.66,61.35,7107.7,0.27
task_grid_45.96_58.85.kml,45.96,58.85,7091.0,1.55
task_grid_44.46_61.05.kml,44.46,61.05,7084.0,3.82
task_grid_45.86_61.15.kml,45.86,61.15,7080.2,11.57
task_grid_46.16_60.55.kml,46.16,60.55,7077.7,6.32
task_grid_46.36_60.05.kml,46.36,60.05,7057.3,3.37
task_grid_43.66_61.05.kml,43.66,61.05,7052.8,0.16
task_grid_43.66_61.15.kml,43.66,61.15,7031.8,0.41
task_grid_44.56_61.15.kml,44.56,61.15,7024.0,3.51
task_grid_44.96_60.75.kml,44.96,60.75,7017.1,40.77
task_grid_44.16_60.85.kml,44.16,60.85,6997.6,0.58
task_grid_43.86_60.85.kml,43.86,60.85,6995.9,9.0
task_grid_44.46_61.15.kml,44.46,61.15,6967.9,1.66
task_grid_46.06_60.25.kml,46.06,60.25,6966.5,17.77
task_grid_43.96_61.55.kml,43.96,61.55,6960.3,34.56
task_grid_45.16_59.25.kml,45.16,59.25,6926.9,2.62
task_grid_44.56_61.05.kml,44.56,61.05,6911.6,2.8
task_grid_43.76_60.75.kml,43.76,60.75,6905.5,0.18
task_grid_45.16_58.85.kml,45.16,58.85,6901.2,2.46
task_grid_44.56_60.95.kml,44.56,60.95,6862.0,3.98
task_grid_44.06_60.55.kml,44.06,60.55,6843.9,13.83
task_grid_44.36_61.15.kml,44.36,61.15,6827.6,8.47
task_grid_46.36_59.35.kml,46.36,59.35,6768.6,0.83
task_grid_44.06_60.45.kml,44.06,60.45,6763.8,21.12
task_grid_45.66_61.25.kml,45.66,61.25,6763.3,15.7
task_grid_45.66_59.75.kml,45.66,59.75,6755.1,23.54
task_grid_45.86_61.25.kml,45.86,61.25,6735.5,4.84
task_grid_45.76_59.25.kml,45.76,59.25,6726.9,7.72
task_grid_43.76_60.35.kml,43.76,60.35,6726.3,20.89
task_grid_44.26_60.25.kml,44.26,60.25,6712.7,38.97
task_grid_44.36_61.05.kml,44.36,61.05,6709.7,1.3
task_grid_45.16_60.75.kml,45.16,60.75,6680.0,60.44
task_grid_44.36_61.55.kml,44.36,61.55,6674.6,21.15
task_grid_46.26_60.55.kml,46.26,60.55,6672.7,4.73
task_grid_44.46_60.85.kml,44.46,60.85,6650.7,14.9
task_grid_46.46_59.95.kml,46.46,59.95,6640.7,1.63
task_grid_43.86_60.75.kml,43.86,60.75,6612.5,0.97
task_grid_43.86_60.65.kml,43.86,60.65,6605.1,7.07
task_grid_44.56_60.75.kml,44.56,60.75,6584.5,16.02
task_grid_43.66_60.95.kml,43.66,60.95,6577.3,0.39
task_grid_43.86_60.55.kml,43.86,60.55,6559.1,14.88
task_grid_44.76_60.85.kml,44.76,60.85,6554.1,18.01
task_grid_45.36_61.25.kml,45.36,61.25,6549.1,35.66
task_grid_46.26_60.15.kml,46.26,60.15,6525.3,0.58
task_grid_45.26_59.25.kml,45.26,59.25,6508.8,6.07
task_grid_45.76_59.45.kml,45.76,59.45,6508.0,6.79
task_grid_44.16_58.85.kml,44.16,58.85,6491.5,1.24
task_grid_43.86_60.95.kml,43.86,60.95,6484.2,3.73
task_grid_44.06_60.85.kml,44.06,60.85,6470.7,2.61
task_grid_44.76_59.15.kml,44.76,59.15,6458.6,10.9
