filename,centroid_lat,centroid_lon,area_ha,low_risk_ha,moderate_risk_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_v6_45.81_59.46.kml,45.81,59.46,1907.0,1162.3,744.6,1.66,1.66,kazakhstan
task_grid_v6_46.11_60.76.kml,46.11,60.76,1879.4,805.4,1074.0,0.15,0.15,kazakhstan
task_grid_v6_45.91_59.96.kml,45.91,59.96,1861.1,246.7,1614.4,36.04,36.04,kazakhstan
task_grid_v6_45.91_61.06.kml,45.91,61.06,1848.8,1435.1,413.6,7.18,7.18,kazakhstan
task_grid_v6_46.11_59.76.kml,46.11,59.76,1821.2,1569.5,251.7,17.12,17.12,kazakhstan
task_grid_v6_45.51_58.96.kml,45.51,58.96,1788.3,0.0,1788.3,29.69,29.69,kazakhstan
task_grid_v6_45.71_60.16.kml,45.71,60.16,1772.6,893.9,878.6,50.44,50.44,kazakhstan
task_grid_v6_45.71_59.86.kml,45.71,59.86,1770.5,1361.4,409.2,27.91,27.91,kazakhstan
task_grid_v6_45.71_60.96.kml,45.71,60.96,1765.9,1084.1,681.9,29.09,29.09,kazakhstan
task_grid_v6_45.81_60.16.kml,45.81,60.16,1747.2,427.1,1320.0,45.51,45.51,kazakhstan
task_grid_v6_45.61_59.86.kml,45.61,59.86,1664.6,801.3,863.3,33.51,33.51,kazakhstan
task_grid_v6_45.31_59.26.kml,45.31,59.26,1652.4,233.7,1418.7,6.29,6.29,kazakhstan
task_grid_v6_46.01_60.16.kml,46.01,60.16,1641.8,467.4,1174.4,23.45,23.45,kazakhstan
task_grid_v6_44.91_61.06.kml,44.91,61.06,1630.6,0.0,1630.6,27.09,27.09,kazakhstan
task_grid_v6_45.61_60.86.kml,45.61,60.86,1627.8,900.4,727.5,41.73,41.73,kazakhstan
task_grid_v6_45.91_59.56.kml,45.91,59.56,1597.4,1597.4,0.0,10.21,10.21,kazakhstan
task_grid_v6_45.81_61.06.kml,45.81,61.06,1548.9,959.6,589.3,17.87,17.87,kazakhstan
task_grid_v6_46.01_60.26.kml,46.01,60.26,1528.8,746.6,782.2,23.06,23.06,kazakhstan
task_grid_v6_45.31_59.06.kml,45.31,59.06,1522.1,1311.1,211.0,20.77,21.83,kazakhstan
task_grid_v6_45.71_59.76.kml,45.71,59.76,1510.5,764.5,746.0,20.81,20.81,kazakhstan
task_grid_v6_45.31_61.06.kml,45.31,61.06,1506.6,240.3,1266.4,49.73,49.73,kazakhstan
task_grid_v6_45.21_61.06.kml,45.21,61.06,1498.0,65.0,1433.0,50.94,50.94,kazakhstan
task_grid_v6_45.81_59.86.kml,45.81,59.86,1478.0,969.9,508.2,26.13,26.13,kazakhstan
task_grid_v6_46.21_60.06.kml,46.21,60.06,1460.6,1171.7,289.0,6.0,6.0,kazakhstan
task_grid_v6_45.51_59.06.kml,45.51,59.06,1454.8,67.5,1387.3,32.29,32.29,kazakhstan
task_grid_v6_45.11_61.06.kml,45.11,61.06,1414.8,23.8,1390.9,44.66,44.66,kazakhstan
task_grid_v6_46.01_59.96.kml,46.01,59.96,1412.8,72.9,1339.8,27.21,27.21,kazakhstan
task_grid_v6_45.81_59.36.kml,45.81,59.36,1358.0,1315.2,42.8,2.3,2.3,kazakhstan
task_grid_v6_45.81_59.96.kml,45.81,59.96,1303.0,801.3,501.7,33.89,33.89,kazakhstan
task_grid_v6_44.91_60.96.kml,44.91,60.96,1257.2,15.9,1241.3,28.89,28.89,kazakhstan
task_grid_v6_46.11_59.66.kml,46.11,59.66,1248.7,487.5,761.2,10.53,10.53,kazakhstan
task_grid_v6_46.21_59.86.kml,46.21,59.86,1213.0,1168.6,44.4,4.94,4.94,kazakhstan
task_grid_v6_46.31_59.56.kml,46.31,59.56,1208.3,536.4,672.0,2.25,2.25,kazakhstan
task_grid_v6_44.61_60.86.kml,44.61,60.86,1187.8,45.1,1142.7,6.75,6.75,kazakhstan
task_grid_v6_45.01_61.46.kml,45.01,61.46,1179.1,241.6,937.6,21.65,21.65,kazakhstan
task_grid_v6_46.31_60.36.kml,46.31,60.36,1166.3,903.0,263.3,9.54,9.54,kazakhstan
task_grid_v6_46.31_59.46.kml,46.31,59.46,1150.2,893.4,256.8,1.08,1.08,kazakhstan
task_grid_v6_45.01_61.26.kml,45.01,61.26,1132.6,11.1,1121.4,28.84,28.84,kazakhstan
task_grid_v6_46.01_60.66.kml,46.01,60.66,1096.2,262.5,833.7,12.69,12.69,kazakhstan
task_grid_v6_45.21_59.36.kml,45.21,59.36,1069.8,784.4,285.3,1.76,1.76,kazakhstan
task_grid_v6_45.71_59.96.kml,45.71,59.96,1031.3,594.3,437.0,35.3,35.3,kazakhstan
task_grid_v6_45.91_59.66.kml,45.91,59.66,1006.5,849.5,157.0,16.26,16.26,kazakhstan
task_grid_v6_46.21_59.96.kml,46.21,59.96,1004.8,974.6,30.2,5.08,5.08,kazakhstan
task_grid_v6_45.71_60.06.kml,45.71,60.06,983.3,620.1,363.1,42.83,42.83,kazakhstan
task_grid_v6_45.91_60.96.kml,45.91,60.96,916.6,719.5,197.1,8.0,8.0,kazakhstan
task_grid_v6_45.91_59.76.kml,45.91,59.76,908.2,0.0,908.2,22.1,22.1,kazakhstan
task_grid_v6_45.41_60.96.kml,45.41,60.96,904.9,245.6,659.3,47.55,47.55,kazakhstan
task_grid_v6_45.81_59.26.kml,45.81,59.26,879.8,521.1,358.7,4.78,4.78,kazakhstan
task_grid_v6_45.21_61.26.kml,45.21,61.26,847.7,69.7,778.0,35.66,35.66,kazakhstan
task_grid_v6_45.81_61.26.kml,45.81,61.26,846.6,128.6,718.0,6.6,6.6,kazakhstan
task_grid_v6_45.51_60.86.kml,45.51,60.86,830.4,73.8,756.6,49.15,49.15,kazakhstan
task_grid_v6_45.91_59.16.kml,45.91,59.16,817.4,804.9,12.5,7.67,7.67,kazakhstan
task_grid_v6_46.01_59.26.kml,46.01,59.26,789.7,522.2,267.5,0.3,0.3,kazakhstan
task_grid_v6_45.91_60.46.kml,45.91,60.46,767.0,0.0,767.0,31.75,31.75,kazakhstan
task_grid_v6_46.01_59.66.kml,46.01,59.66,753.8,81.3,672.5,13.22,13.22,kazakhstan
task_grid_v6_44.81_60.96.kml,44.81,60.96,732.9,90.9,642.0,18.42,18.42,kazakhstan
task_grid_v6_46.01_60.96.kml,46.01,60.96,721.5,451.8,269.7,5.05,5.05,kazakhstan
task_grid_v6_46.01_60.76.kml,46.01,60.76,692.2,81.2,611.0,8.31,8.31,kazakhstan
task_grid_v6_45.81_60.76.kml,45.81,60.76,655.4,556.7,98.7,26.8,26.8,kazakhstan
task_grid_v6_44.81_61.16.kml,44.81,61.16,648.2,19.1,629.1,13.65,14.36,kazakhstan
task_grid_v6_45.01_60.26.kml,45.01,60.26,627.2,70.0,557.2,70.06,70.85,kazakhstan
task_grid_v6_45.91_59.06.kml,45.91,59.06,620.4,488.2,132.2,11.33,11.33,kazakhstan
task_grid_v6_45.01_60.76.kml,45.01,60.76,605.2,0.0,605.2,45.37,45.37,kazakhstan
task_grid_v6_45.61_61.36.kml,45.61,61.36,601.1,0.0,601.1,9.22,9.22,kazakhstan
task_grid_v6_45.21_61.46.kml,45.21,61.46,598.2,0.0,598.2,20.95,20.95,kazakhstan
task_grid_v6_46.21_60.46.kml,46.21,60.46,580.3,172.7,407.6,0.87,0.87,kazakhstan
task_grid_v6_45.31_60.96.kml,45.31,60.96,570.7,22.2,548.5,54.88,54.88,kazakhstan
task_grid_v6_46.01_59.06.kml,46.01,59.06,564.8,516.4,48.4,2.05,2.05,kazakhstan
task_grid_v6_45.71_59.66.kml,45.71,59.66,556.8,194.7,362.1,14.44,14.44,kazakhstan
task_grid_v6_46.21_60.26.kml,46.21,60.26,542.5,275.5,267.0,0.85,0.85,kazakhstan
task_grid_v6_45.71_58.66.kml,45.71,58.66,535.5,499.8,35.7,3.46,3.46,kazakhstan
task_grid_v6_44.61_60.76.kml,44.61,60.76,531.3,86.5,444.8,14.61,14.61,kazakhstan
task_grid_v6_46.01_59.56.kml,46.01,59.56,526.1,391.6,134.6,6.0,6.0,kazakhstan
task_grid_v6_45.11_61.46.kml,45.11,61.46,515.8,0.0,515.8,24.15,24.15,kazakhstan
task_grid_v6_45.81_59.56.kml,45.81,59.56,502.2,56.3,445.8,3.04,3.04,kazakhstan
task_grid_v6_45.81_61.16.kml,45.81,61.16,491.1,84.3,406.8,13.52,13.52,kazakhstan
task_grid_v6_46.21_60.76.kml,46.21,60.76,488.0,202.6,285.4,0.38,0.38,kazakhstan
task_grid_v6_45.01_60.86.kml,45.01,60.86,481.5,0.0,481.5,41.98,41.98,kazakhstan
task_grid_v6_45.71_59.26.kml,45.71,59.26,452.2,336.8,115.4,10.3,10.3,kazakhstan
task_grid_v6_46.01_59.46.kml,46.01,59.46,435.6,435.6,0.0,1.45,1.45,kazakhstan
task_grid_v6_45.41_61.36.kml,45.41,61.36,435.4,97.9,337.4,25.4,25.4,kazakhstan
task_grid_v6_45.71_59.46.kml,45.71,59.46,432.8,201.8,231.0,11.03,11.03,kazakhstan
task_grid_v6_46.21_59.76.kml,46.21,59.76,432.7,341.4,91.3,7.72,7.72,kazakhstan
task_grid_v6_45.61_61.26.kml,45.61,61.26,432.6,56.7,376.0,16.02,16.02,kazakhstan
task_grid_v6_45.91_60.66.kml,45.91,60.66,431.8,0.0,431.8,21.54,21.54,kazakhstan
task_grid_v6_45.91_59.36.kml,45.91,59.36,425.4,425.0,0.4,3.77,3.77,kazakhstan
task_grid_v6_45.71_61.06.kml,45.71,61.06,416.0,42.6,373.4,25.21,25.21,kazakhstan
task_grid_v6_45.61_61.16.kml,45.61,61.16,412.1,26.8,385.2,23.44,23.44,kazakhstan
task_grid_v6_45.21_60.96.kml,45.21,60.96,405.7,0.0,405.7,58.19,58.19,kazakhstan
task_grid_v6_45.11_60.26.kml,45.11,60.26,398.0,0.0,398.0,68.76,69.3,kazakhstan
task_grid_v6_45.01_60.46.kml,45.01,60.46,377.3,11.2,366.1,59.45,59.45,kazakhstan
task_grid_v6_45.01_60.96.kml,45.01,60.96,364.4,0.0,364.4,39.7,39.7,kazakhstan
task_grid_v6_45.71_60.56.kml,45.71,60.56,355.6,0.0,355.6,44.98,44.98,kazakhstan
task_grid_v6_44.81_61.26.kml,44.81,61.26,352.6,0.0,352.6,7.98,7.98,kazakhstan
task_grid_v6_45.91_58.96.kml,45.91,58.96,349.9,188.1,161.8,6.76,6.76,kazakhstan
task_grid_v6_44.51_60.96.kml,44.51,60.96,344.2,36.7,307.5,4.36,4.36,kazakhstan
task_grid_v6_45.81_59.66.kml,45.81,59.66,332.6,88.9,243.7,10.62,10.62,kazakhstan
task_grid_v6_46.31_60.06.kml,46.31,60.06,331.4,331.4,0.0,0.51,0.51,kazakhstan
task_grid_v6_44.81_60.86.kml,44.81,60.86,331.1,28.7,302.4,22.26,22.26,kazakhstan
task_grid_v6_45.31_61.36.kml,45.31,61.36,330.9,0.0,330.9,26.46,26.46,kazakhstan
task_grid_v6_45.71_60.76.kml,45.71,60.76,317.2,162.5,154.7,35.12,35.12,kazakhstan
task_grid_v6_46.31_60.26.kml,46.31,60.26,315.1,287.1,28.0,10.11,10.11,kazakhstan
task_grid_v6_45.31_61.26.kml,45.31,61.26,312.8,96.1,216.6,34.29,34.29,kazakhstan
task_grid_v6_44.81_61.36.kml,44.81,61.36,302.8,0.0,302.8,6.8,6.8,kazakhstan
task_grid_v6_46.01_58.96.kml,46.01,58.96,293.1,280.6,12.5,0.54,0.54,kazakhstan
task_grid_v6_46.51_61.26.kml,46.51,61.26,291.9,226.9,65.1,3.44,3.44,kazakhstan
task_grid_v6_45.61_59.66.kml,45.61,59.66,291.6,0.0,291.6,23.48,23.48,kazakhstan
task_grid_v6_45.71_59.56.kml,45.71,59.56,286.0,16.7,269.3,10.23,10.23,kazakhstan
task_grid_v6_46.11_61.06.kml,46.11,61.06,282.4,256.2,26.2,4.19,4.19,kazakhstan
task_grid_v6_45.11_61.66.kml,45.11,61.66,265.5,31.8,233.7,8.42,8.42,kazakhstan
task_grid_v6_45.61_59.16.kml,45.61,59.16,258.4,0.0,258.4,23.85,23.85,kazakhstan
task_grid_v6_45.91_59.26.kml,45.91,59.26,253.1,209.6,43.5,7.51,7.51,kazakhstan
task_grid_v6_46.01_60.36.kml,46.01,60.36,252.1,0.0,252.1,23.53,23.53,kazakhstan
task_grid_v6_46.21_60.16.kml,46.21,60.16,248.6,209.0,39.6,2.17,2.17,kazakhstan
task_grid_v6_44.91_61.36.kml,44.91,61.36,244.1,0.0,244.1,17.52,17.52,kazakhstan
task_grid_v6_46.21_60.86.kml,46.21,60.86,241.2,46.9,194.4,7.39,7.39,kazakhstan
task_grid_v6_45.51_58.86.kml,45.51,58.86,236.4,0.0,236.4,22.68,22.68,kazakhstan
task_grid_v6_45.81_58.66.kml,45.81,58.66,232.6,232.6,0.0,0.36,0.36,kazakhstan
task_grid_v6_45.81_59.76.kml,45.81,59.76,228.7,39.6,189.1,18.36,18.36,kazakhstan
task_grid_v6_45.41_61.46.kml,45.41,61.46,228.3,12.6,215.6,20.38,20.38,kazakhstan
task_grid_v6_46.21_60.36.kml,46.21,60.36,227.9,217.0,10.9,1.48,1.48,kazakhstan
task_grid_v6_45.51_59.76.kml,45.51,59.76,224.6,11.6,212.9,36.98,36.98,kazakhstan
task_grid_v6_44.51_60.76.kml,44.51,60.76,222.9,100.6,122.3,17.54,17.54,kazakhstan
task_grid_v6_45.41_58.86.kml,45.41,58.86,220.3,0.0,220.3,23.42,26.53,kazakhstan
task_grid_v6_45.61_59.26.kml,45.61,59.26,220.0,0.0,220.0,20.06,20.06,kazakhstan
task_grid_v6_46.21_60.56.kml,46.21,60.56,218.1,171.4,46.7,0.56,0.56,kazakhstan
