filename,centroid_lat,centroid_lon,area_ha,low_risk_ha,moderate_risk_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_v6_45.31_60.86.kml,45.31,60.86,49.8,0.0,49.8,60.61,60.61,kazakhstan
task_grid_v6_45.01_61.56.kml,45.01,61.56,47.7,0.0,47.7,14.34,14.34,kazakhstan
task_grid_v6_46.51_61.36.kml,46.51,61.36,44.9,0.0,44.9,0.2,0.2,kazakhstan
task_grid_v6_46.41_61.46.kml,46.41,61.46,42.8,42.8,0.0,0.54,0.54,kazakhstan
task_grid_v6_45.01_60.66.kml,45.01,60.66,41.4,0.0,41.4,49.52,49.52,kazakhstan
task_grid_v6_46.31_59.86.kml,46.31,59.86,39.8,39.8,0.0,1.16,1.16,kazakhstan
task_grid_v6_45.01_61.96.kml,45.01,61.96,39.8,0.0,39.8,5.82,5.82,kazakhstan
task_grid_v6_45.41_60.66.kml,45.41,60.66,37.9,0.0,37.9,67.88,67.88,kazakhstan
task_grid_v6_45.51_61.36.kml,45.51,61.36,36.0,0.0,36.0,18.43,18.43,kazakhstan
task_grid_v6_46.21_61.06.kml,46.21,61.06,33.9,23.0,10.9,10.41,10.41,kazakhstan
task_grid_v6_46.21_61.16.kml,46.21,61.16,32.7,32.7,0.0,4.91,4.91,kazakhstan
task_grid_v6_45.51_59.86.kml,45.51,59.86,27.2,0.0,27.2,41.4,41.4,kazakhstan
task_grid_v6_45.11_61.76.kml,45.11,61.76,25.9,0.0,25.9,0.56,0.56,kazakhstan
task_grid_v6_44.91_61.56.kml,44.91,61.56,25.5,0.0,25.5,9.81,9.81,kazakhstan
task_grid_v6_45.71_60.26.kml,45.71,60.26,24.7,12.4,12.3,56.4,56.4,kazakhstan
task_grid_v6_45.11_61.56.kml,45.11,61.56,23.5,0.0,23.5,16.29,16.29,kazakhstan
task_grid_v6_45.01_61.86.kml,45.01,61.86,19.1,0.0,19.1,1.99,1.99,kazakhstan
task_grid_v6_45.91_60.86.kml,45.91,60.86,17.6,0.0,17.6,14.03,14.03,kazakhstan
task_grid_v6_45.51_61.46.kml,45.51,61.46,16.3,0.0,16.3,12.41,12.41,kazakhstan
task_grid_v6_44.81_61.46.kml,44.81,61.46,16.0,0.0,16.0,8.91,8.91,kazakhstan
task_grid_v6_44.91_61.66.kml,44.91,61.66,15.9,0.0,15.9,2.42,2.42,kazakhstan
task_grid_v6_45.61_60.66.kml,45.61,60.66,15.7,0.0,15.7,48.7,48.7,kazakhstan
task_grid_v6_45.71_58.96.kml,45.71,58.96,15.7,0.0,15.7,18.93,18.93,kazakhstan
task_grid_v6_45.61_60.46.kml,45.61,60.46,15.7,0.0,15.7,58.33,58.33,kazakhstan
task_grid_v6_45.61_59.36.kml,45.61,59.36,12.4,0.0,12.4,18.9,18.9,kazakhstan
task_grid_v6_44.61_60.66.kml,44.61,60.66,11.2,0.0,11.2,22.53,22.53,kazakhstan
task_grid_v6_46.51_60.96.kml,46.51,60.96,11.2,10.8,0.3,9.73,9.73,kazakhstan
task_grid_v6_44.61_61.06.kml,44.61,61.06,11.2,0.0,11.2,1.51,1.51,kazakhstan
task_grid_v6_45.81_60.46.kml,45.81,60.46,11.0,0.0,11.0,39.49,39.49,kazakhstan
task_grid_v6_46.01_60.86.kml,46.01,60.86,10.9,0.0,10.9,7.51,7.51,kazakhstan
task_grid_v6_46.51_59.86.kml,46.51,59.86,10.8,10.8,0.0,2.62,2.62,kazakhstan
