filename,centroid_lat,centroid_lon,area_ha
task_grid_45.26_60.95.kml,45.26,60.95,7937.3
task_grid_43.56_60.65.kml,43.56,60.65,7934.9
task_grid_44.46_61.25.kml,44.46,61.25,7901.3
task_grid_44.26_58.95.kml,44.26,58.95,7887.6
task_grid_44.36_60.85.kml,44.36,60.85,7879.8
task_grid_45.46_60.75.kml,45.46,60.75,7878.6
task_grid_44.36_59.95.kml,44.36,59.95,7856.4
task_grid_44.36_60.65.kml,44.36,60.65,7854.8
task_grid_46.16_60.15.kml,46.16,60.15,7854.2
task_grid_43.56_60.85.kml,43.56,60.85,7846.3
task_grid_44.46_60.95.kml,44.46,60.95,7844.8
task_grid_46.36_59.15.kml,46.36,59.15,7831.8
task_grid_45.56_59.15.kml,45.56,59.15,7821.7
task_grid_44.36_60.55.kml,44.36,60.55,7816.2
task_grid_44.56_60.55.kml,44.56,60.55,7813.8
task_grid_43.56_60.95.kml,43.56,60.95,7811.2
task_grid_44.26_60.75.kml,44.26,60.75,7806.3
task_grid_46.36_59.75.kml,46.36,59.75,7796.1
task_grid_45.26_60.55.kml,45.26,60.55,7794.1
task_grid_44.46_60.75.kml,44.46,60.75,7768.0
task_grid_45.16_60.55.kml,45.16,60.55,7760.0
task_grid_43.96_60.55.kml,43.96,60.55,7758.7
task_grid_44.16_61.35.kml,44.16,61.35,7757.3
task_grid_45.76_61.05.kml,45.76,61.05,7752.8
task_grid_46.26_60.65.kml,46.26,60.65,7742.6
task_grid_43.66_59.85.kml,43.66,59.85,7739.6
task_grid_45.06_59.35.kml,45.06,59.35,7724.9
task_grid_44.96_61.25.kml,44.96,61.25,7706.5
task_grid_44.16_61.05.kml,44.16,61.05,7689.0
task_grid_44.16_61.15.kml,44.16,61.15,7676.9
task_grid_45.36_60.45.kml,45.36,60.45,7668.6
task_grid_45.26_61.05.kml,45.26,61.05,7657.8
task_grid_44.26_60.55.kml,44.26,60.55,7649.5
task_grid_46.46_59.35.kml,46.46,59.35,7621.4
task_grid_44.26_61.15.kml,44.26,61.15,7608.7
task_grid_43.96_60.35.kml,43.96,60.35,7591.0
task_grid_45.46_60.85.kml,45.46,60.85,7583.2
