pit_id,lat_dd,lon_dd,elevation_m,landform_vegetation,coord_source_file,coord_provenance,src_year,in_aoi,has_coordinates,soil_type,soil_class,soil_anthro_flag
16/13,46.24327777777778,61.75663888888889,101.0,"Микропонижение, пятно биюргуна / биюргун",morph_2013,surveyed,2013,True,True,"Солонец пустынный солончаковый тяжелосуглинистый, на песке с 80 см",solonchak,0
16/14,45.693194444444444,61.8015,31.2,"Песчаный прирусловый вал / терескен, чингиль, тал, эфемеры, тростник",morph_2014_beloe,surveyed,2014,True,True,Песок лугово-пустынный,meadow,0
16А/12,45.719722222222224,60.25405555555555,24.0,Плоская поверхность / единичными мелкими солянками,morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
17/13,46.25958333333333,61.80172222222222,63.0,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,morph_2014_beloe,surveyed,2013,True,True,Такыр солончаковый глинистый,solonchak,0
17/14,45.66752777777778,61.933527777777776,35.5,"Пойма р. Сырдарья / чингилевый массив, злаки",morph_2014_beloe,surveyed,2014,True,True,Пойменная луговая засоленная среднесуглинистая на тяжелых отложениях,meadow,0
17А/12,45.72475,60.25933333333333,22.0,"Плоская поверхность, широкая ложбина / солянковой растительностью",morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
18/14,45.69969444444444,61.59225,29.6,Небольшой участок / однолетнесолянковые с тамариксом,morph_2014_beloe,surveyed,2014,True,True,Луговая обсыхающая засоленная тяжелосуглинистая,meadow,0
18А/12,45.73072222222223,60.27125,23.0,Плоская поверхность / единичные кустики солянок,morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
19/13,46.3815,61.78086111111111,75.0,Увалистые поверхности / полынная растительность,morph_2014_beloe,surveyed,2013,True,True,Солонец пустынный солончаковый тяжелосуглинистый на суглинке,solonchak,0
19/14,45.684305555555554,61.61361111111111,29.0,Старая залежь,morph_2014_beloe,surveyed,2014,True,True,Луговая староорошаемая засоленная,meadow,1
19А/12,45.71344444444445,60.293416666666666,20.0,Плоская поверхность / редкие мелкие единичные кустики солянок,morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
