pit_id,depth_top_cm,depth_bottom_cm,humus_pct,n_total_pct,c_n_ratio,co2_pct,caco3_pct,caso4_pct,exch_ca,exch_mg,exch_na,exch_k,exch_sum,p2o5_mobile,k2o_mobile,n_hydrolyzable,ph_water,src_year,salt_sum_salts_pct,salt_alk_hco3_pct,salt_alk_co3_pct,salt_cl_pct,salt_so4_pct,salt_ca_pct,salt_mg_pct,salt_na_pct,salt_k_pct,sand_1_0p25,sand_0p25_0p05,silt_0p05_0p01,silt_0p01_0p005,silt_0p005_0p001,clay_lt0p001,physical_clay_lt0p01,hygroscopic_water_pct,sand_pct,silt_pct,clay_pct,lat_dd,lon_dd,elevation_m,in_aoi,has_coordinates,coord_provenance,georeferenced
03/14,17.0,27.0,0.07,0.028,1.5,6.8,15.5,,6.0,4.25,0.56,0.14,11.0,10.0,110.0,28.0,8.9,2014,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
04/14,0.0,7.0,10.22,0.28,21.2,0.6,1.3,,9.75,30.5,4.2,0.55,45.0,66.0,820.0,81.2,8.3,2014,7.089,0.061,,1.228,3.438,0.619,0.029,1.68,0.034,1.56,34.56,26.55,12.86,2.07,22.4,37.34,3.5,36.120000000000005,41.48,22.4,,,,False,False,missing,False
04/14,10.0,20.0,4.5,0.182,14.3,1.6,3.6,,9.5,35.0,13.0,0.45,58.0,40.0,680.0,47.6,8.2,2014,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
04/14,28.0,38.0,0.82,0.042,11.3,12.0,27.2,,8.75,16.0,7.7,0.28,32.7,2.0,230.0,8.4,9.1,2014,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
04/14,50.0,60.0,,,,8.6,19.6,,,,,,,,,,9.0,2014,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
04/14,100.0,110.0,,,,7.7,17.4,,,,,,,,,,9.0,2014,,,,,,,,,,,,,,,,,,,,,,,,False,False,missing,False
05/14,0.0,7.0,0.37,0.028,7.7,1.6,3.7,,5.0,2.5,0.24,0.3,8.0,,,,9.1,2014,0.07,0.024,0.005,0.001,0.024,0.004,0.001,0.013,0.003,6.46,66.62,13.66,2.81,8.04,2.41,13.26,2.7,73.08,24.509999999999998,2.41,45.665305555555555,61.69419444444444,42.3,True,True,surveyed,True
05/14,7.0,16.0,0.48,0.014,19.9,1.8,4.0,,7.0,2.5,2.14,0.07,11.7,,,,9.3,2014,,,,,,,,,,,,,,,,,,,,,45.665305555555555,61.69419444444444,42.3,True,True,surveyed,True
05/14,16.0,26.0,0.72,0.07,6.0,0.8,1.9,,14.75,2.3,5.9,0.06,23.0,,,,8.3,2014,,,,,,,,,,,,,,,,,,,,,45.665305555555555,61.69419444444444,42.3,True,True,surveyed,True
05/14,28.0,38.0,,,,0.6,1.3,,12.25,3.0,5.4,0.02,20.7,,,,8.4,2014,,,,,,,,,,,,,,,,,,,,,45.665305555555555,61.69419444444444,42.3,True,True,surveyed,True
05/14,42.0,52.0,,,,0.4,1.0,,,,,,,,,,8.1,2014,,,,,,,,,,,,,,,,,,,,,45.665305555555555,61.69419444444444,42.3,True,True,surveyed,True
05/14,80.0,90.0,,,,,,,,,,,,,,,8.1,2014,,,,,,,,,,,,,,,,,,,,,45.665305555555555,61.69419444444444,42.3,True,True,surveyed,True
06/13,0.0,5.0,1.17,0.056,12.1,0.9,2.1,,4.0,2.0,0.81,0.29,7.1,21.0,290.0,8.4,8.9,2013,0.058,0.02,,0.004,0.016,0.006,0.001,0.007,0.004,40.69,39.55,7.66,4.84,3.63,3.63,12.1,0.82,80.24,16.13,3.63,46.200472222222224,61.550666666666665,72.0,True,True,surveyed,True
06/13,7.0,17.0,0.24,0.042,3.3,0.7,1.5,,4.5,2.0,1.01,0.29,7.8,20.0,300.0,2.8,8.9,2013,,,,,,,,,,,,,,,,,,,,,46.200472222222224,61.550666666666665,72.0,True,True,surveyed,True
06/13,30.0,40.0,0.1,0.028,2.1,1.7,3.9,,4.0,2.25,1.05,0.21,7.5,5.0,230.0,5.6,8.7,2013,,,,,,,,,,,,,,,,,,,,,46.200472222222224,61.550666666666665,72.0,True,True,surveyed,True
06/13,65.0,75.0,,,,1.3,3.1,,,,,,,,,,9.0,2013,,,,,,,,,,,,,,,,,,,,,46.200472222222224,61.550666666666665,72.0,True,True,surveyed,True
07/13,0.0,7.0,0.48,0.07,4.0,0.7,1.6,,5.0,2.5,0.93,0.43,8.9,20.0,500.0,19.6,8.4,2013,0.189,0.017,,0.054,0.052,0.013,0.002,0.043,0.008,16.56,54.71,9.31,8.91,6.88,3.64,19.43,1.81,71.27,25.099999999999998,3.64,46.14347222222222,61.49341666666667,70.0,True,True,surveyed,True
07/13,7.0,16.0,0.45,0.042,6.2,1.2,2.7,,4.75,2.75,1.31,0.41,9.2,6.0,420.0,8.4,8.4,2013,,,,,,,,,,,,,,,,,,,,,46.14347222222222,61.49341666666667,70.0,True,True,surveyed,True
07/13,22.0,32.0,0.27,0.028,5.6,1.6,3.6,0.1,6.0,3.25,1.31,0.36,10.9,3.0,440.0,22.4,8.4,2013,,,,,,,,,,,,,,,,,,,,,46.14347222222222,61.49341666666667,70.0,True,True,surveyed,True
07/13,40.0,50.0,0.26,0.028,5.4,2.3,5.2,0.1,6.5,4.0,1.31,0.26,12.1,8.0,370.0,19.6,8.4,2013,,,,,,,,,,,,,,,,,,,,,46.14347222222222,61.49341666666667,70.0,True,True,surveyed,True
07/13,60.0,70.0,,,,1.9,4.4,0.2,,,,,,,,,9.0,2013,,,,,,,,,,,,,,,,,,,,,46.14347222222222,61.49341666666667,70.0,True,True,surveyed,True
