pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
19,19/20А,chemistry_salinity_ions,0-2 см,0.0,2.0,0.4,0.012,0.85,0.052,344.0,12.212,286.9,13.8,12.0,0.24,122.0,1.488,580.158,13.344,6.722,0.262,41.38,632.121,720.88,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
19,19/20А,chemistry_salinity_ions,2-7 см,2.0,7.0,0.2,0.006,0.4,0.024,39.6,1.406,93.2,4.47,17.0,0.34,31.4,0.383,91.696,2.109,2.647,0.103,8.85,133.417,142.743,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
19,19/20А,chemistry_salinity_ions,7-25 см,7.0,25.0,,,0.3,0.018,38.4,1.363,99.8,4.79,20.8,0.416,24.2,0.295,75.472,1.736,2.003,0.078,8.7,138.481,122.475,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
19,19/20А,chemistry_salinity_ions,25-75 см,25.0,75.0,,,0.4,0.024,28.4,1.008,92.1,4.42,10.2,0.204,10.4,0.127,91.696,2.109,2.54,0.099,7.99,120.923,114.835,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
19,19/20А,chemistry_salinity_ions,75-120 см,75.0,120.0,,,0.45,0.027,37.2,1.321,88.8,4.26,6.8,0.136,21.2,0.259,107.92,2.482,2.754,0.107,8.6,126.49,138.674,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
20,20/20А,chemistry_salinity_ions,0-1 см,0.0,1.0,0.1,0.003,0.35,0.021,184.0,6.532,86.7,4.16,24.4,0.488,58.0,0.708,221.487,5.094,4.792,0.187,17.19,271.102,308.679,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
20,20/20А,chemistry_salinity_ions,1-20 см,1.0,20.0,,,0.35,0.021,46.4,1.647,95.4,4.58,20.4,0.408,18.8,0.229,116.032,2.669,2.54,0.099,9.65,142.155,157.771,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
20,20/20А,chemistry_salinity_ions,20-50 см,20.0,50.0,,,0.3,0.018,20.8,0.738,20.4,0.98,5.4,0.108,12.0,0.146,28.638,0.659,1.574,0.061,2.71,41.494,47.613,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
20,20/20А,chemistry_salinity_ions,50-93 см,50.0,93.0,,,0.4,0.024,18.8,0.667,38.3,1.84,3.8,0.076,7.8,0.095,43.024,0.99,2.218,0.086,3.78,57.537,56.842,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
20,20/20А,chemistry_salinity_ions,93-130 см,93.0,130.0,,,0.4,0.024,16.0,0.568,10.1,0.48,2.8,0.056,5.8,0.071,19.715,0.453,0.844,0.033,1.69,26.47,29.159,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
1,01/20А,humus_co2_ph,0-10,0.0,10.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.45,1.49,7.68
1,01/20А,humus_co2_ph,16-26,16.0,26.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.62,7.79
1,01/20А,humus_co2_ph,38-48,38.0,48.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.58,7.81
1,01/20А,humus_co2_ph,70-80,70.0,80.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.64,7.95
1,01/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.74,8.02
2,02/20А,humus_co2_ph,0-6,0.0,6.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.82,8.41,6.83
2,02/20А,humus_co2_ph,38-68,38.0,68.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.45,6.77,7.31
2,02/20А,humus_co2_ph,30-40,30.0,40.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.24,6.55,7.98
2,02/20А,humus_co2_ph,53-63,53.0,63.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,6.81,7.94
2,02/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,6.87,8.17
3,03/20А,humus_co2_ph,0-6,0.0,6.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.91,7.29,7.96
3,03/20А,humus_co2_ph,15-25,15.0,25.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.46,7.26,8.41
3,03/20А,humus_co2_ph,42-52,42.0,52.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.23,8.72,8.47
3,03/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,6.74,8.47
4,04/20А,humus_co2_ph,0-6,0.0,6.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.58,7.46,8.2
4,04/20А,humus_co2_ph,20-30,20.0,30.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.1,7.01,8.21
4,04/20А,humus_co2_ph,27-37,27.0,37.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.06,8.66,8.54
4,04/20А,humus_co2_ph,45-55,45.0,55.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.14,8.64
4,04/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.85,8.73
5,05/20А,humus_co2_ph,0-3,0.0,3.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.31,6.06,8.5
5,05/20А,humus_co2_ph,3-11,3.0,11.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.75,6.91,8.74
5,05/20А,humus_co2_ph,14-24,14.0,24.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.46,8.11,8.8
5,05/20А,humus_co2_ph,30-40,30.0,40.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.53,8.56
5,05/20А,humus_co2_ph,52-62,52.0,62.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.78,8.58
5,05/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.16,8.63
6,06/20А,humus_co2_ph,0-5,0.0,5.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.21,6.13,8.63
6,06/20А,humus_co2_ph,9-19,9.0,19.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.16,5.67,7.56
6,06/20А,humus_co2_ph,35-45,35.0,45.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.09,6.03,7.87
6,06/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,6.17,8.05
7,07/20А,humus_co2_ph,0-6,0.0,6.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.44,7.21,7.59
7,07/20А,humus_co2_ph,9-19,9.0,19.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.32,6.97,7.63
7,07/20А,humus_co2_ph,30-40,30.0,40.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.22,6.39,7.01
7,07/20А,humus_co2_ph,50-60,50.0,60.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,6.13,7.85
7,07/20А,humus_co2_ph,120-130,120.0,130.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,5.91,7.79
8,08/20А,humus_co2_ph,0-10,0.0,10.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.33,7.29,8.0
8,08/20А,humus_co2_ph,15-25,15.0,25.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.47,7.94,8.21
8,08/20А,humus_co2_ph,35-45,35.0,45.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.33,7.13,8.47
8,08/20А,humus_co2_ph,60-70,60.0,70.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.33,8.68
8,08/20А,humus_co2_ph,110-120,110.0,120.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,1.29,8.26
9,09/20А,humus_co2_ph,0-10,0.0,10.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.64,1.11,8.17
9,09/20А,humus_co2_ph,15-25,15.0,25.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.57,2.21,7.93
9,09/20А,humus_co2_ph,40-50,40.0,50.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.42,1.52,7.87
9,09/20А,humus_co2_ph,80-90,80.0,90.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.68,7.57
10,10/20А,humus_co2_ph,0-10,0.0,10.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.84,8.61,7.3
10,10/20А,humus_co2_ph,15-25,15.0,25.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.61,9.01,8.28
10,10/20А,humus_co2_ph,25-35,25.0,35.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.29,8.11,8.33
10,10/20А,humus_co2_ph,45-55,45.0,55.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.38,8.38
10,10/20А,humus_co2_ph,80-90,80.0,90.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.53,8.65
11,11/20А,humus_co2_ph,0-8,0.0,8.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.98,2.48,8.32
11,11/20А,humus_co2_ph,13-23,13.0,23.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.89,6.42,8.46
11,11/20А,humus_co2_ph,35-45,35.0,45.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.77,8.42,8.68
11,11/20А,humus_co2_ph,60-70,60.0,70.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.57,8.42
11,11/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.25,8.33
12,12/20А,humus_co2_ph,0-6,0.0,6.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,2.91,7.43,7.4
12,12/20А,humus_co2_ph,8-18,8.0,18.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.69,7.92,7.64
12,12/20А,humus_co2_ph,25-35,25.0,35.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.63,6.62,7.42
12,12/20А,humus_co2_ph,50-60,50.0,60.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.54,8.67
12,12/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,9.16,8.89
13,13/20А,humus_co2_ph,0-8,0.0,8.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.08,9.49,8.59
13,13/20А,humus_co2_ph,13-23,13.0,23.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.04,9.85,8.0
13,13/20А,humus_co2_ph,40-50,40.0,50.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.99,8.02,8.23
13,13/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.31,8.38
14,14/20А,humus_co2_ph,0-10,0.0,10.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.3,1.21,8.49
14,14/20А,humus_co2_ph,12-22,12.0,22.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.43,0.98,8.75
14,14/20А,humus_co2_ph,28-38,28.0,38.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.02,0.75,8.39
14,14/20А,humus_co2_ph,45-55,45.0,55.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.58,7.71
14,14/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,0.42,7.93
15,15/20А,humus_co2_ph,0-5,0.0,5.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.87,0.62,7.78
15,15/20А,humus_co2_ph,7-17,7.0,17.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.79,8.64,8.25
15,15/20А,humus_co2_ph,32-42,32.0,42.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.79,9.01,8.39
15,15/20А,humus_co2_ph,55-65,55.0,65.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.46,8.31
15,15/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.98,7.63
16,16/20А,humus_co2_ph,0-6,0.0,6.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.15,5.56,7.75
16,16/20А,humus_co2_ph,8-18,8.0,18.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.63,5.66,8.04
16,16/20А,humus_co2_ph,22-32,22.0,32.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.59,8.15,7.66
16,16/20А,humus_co2_ph,40-50,40.0,50.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.11,8.11
16,16/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.61,8.69
17,17/20А,humus_co2_ph,0-5,0.0,5.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.95,6.44,7.72
17,17/20А,humus_co2_ph,9-19,9.0,19.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.04,7.66,8.15
17,17/20А,humus_co2_ph,35-45,35.0,45.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.56,8.34,8.9
17,17/20А,humus_co2_ph,58-68,58.0,68.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.89,8.67
17,17/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,6.48,7.78
18,18/20А,humus_co2_ph,0-5,0.0,5.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.42,5.41,7.89
18,18/20А,humus_co2_ph,8-18,8.0,18.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.31,5.79,8.13
18,18/20А,humus_co2_ph,27-37,27.0,37.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.24,6.35,8.2
18,18/20А,humus_co2_ph,40-50,40.0,50.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,5.07,8.83
18,18/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,4.58,8.89
19,19/20А,humus_co2_ph,0-10,0.0,10.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.35,8.47,8.08
19,19/20А,humus_co2_ph,12-22,12.0,22.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.75,8.18,8.05
19,19/20А,humus_co2_ph,33-43,33.0,43.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.6,8.25,8.12
19,19/20А,humus_co2_ph,55-65,55.0,65.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.75,8.34
19,19/20А,humus_co2_ph,90-100,90.0,100.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.28,7.85
20,20/20А,humus_co2_ph,0-8,0.0,8.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.68,8.34,7.61
20,20/20А,humus_co2_ph,12-22,12.0,22.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.55,7.72,7.95
20,20/20А,humus_co2_ph,35-45,35.0,45.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.4,7.53,8.41
20,20/20А,humus_co2_ph,58-68,58.0,68.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.33,8.5
20,20/20А,humus_co2_ph,100-110,100.0,110.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,8.02,8.52
21,21/20А,humus_co2_ph,0-5,0.0,5.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,1.16,6.88,8.44
21,21/20А,humus_co2_ph,5-15,5.0,15.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.66,7.49,8.56
21,21/20А,humus_co2_ph,20-30,20.0,30.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,0.46,7.56,8.48
21,21/20А,humus_co2_ph,48-58,48.0,58.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.85,8.37
21,21/20А,humus_co2_ph,68-78,68.0,78.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.72,8.4
21,21/20А,humus_co2_ph,120-130,120.0,130.0,,,,,,,,,,,,,,,,,,,,результаты Арал(Лист2).csv,,7.79,8.41
