pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
5,05/20А,chemistry_salinity_ions,23-34 см,23.0,34.0,0.2,0.006,0.2,0.012,34.0,1.207,82.5,4.0,11.2,0.224,16.4,0.2,85.677,1.971,4.971,0.194,7.78,116.938,118.248,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
5,05/20А,chemistry_salinity_ions,34-60 см,34.0,60.0,,,0.45,0.027,31.2,1.108,109.9,5.3,4.4,0.088,28.8,0.351,111.153,2.557,4.863,0.19,9.6,141.541,149.216,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
5,05/20А,chemistry_salinity_ions,60-103 см,60.0,103.0,,,0.3,0.018,21.2,0.753,69.0,3.3,6.0,0.12,16.2,0.198,68.692,1.58,1.196,0.047,6.03,90.472,92.089,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
5,05/20А,chemistry_salinity_ions,103-128 см,103.0,128.0,,,0.35,0.021,9.6,0.341,34.0,1.6,2.4,0.048,6.4,0.078,34.724,0.799,0.583,0.023,2.94,43.911,44.107,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
5,05/20А,chemistry_salinity_ions,125-160 см,125.0,160.0,,,0.35,0.021,8.0,0.284,14.7,0.7,1.4,0.028,4.0,0.049,17.739,0.408,0.454,0.018,1.51,23.055,23.593,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
6,06/20А,chemistry_salinity_ions,0-30 см,0.0,30.0,,,0.35,0.021,2.8,0.099,14.3,0.7,12.4,0.248,1.8,0.022,3.472,0.08,0.4,0.016,1.17,17.417,18.072,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
6,06/20А,chemistry_salinity_ions,30-60 см,30.0,60.0,,,0.4,0.024,5.6,0.199,22.1,1.06,11.4,0.228,4.6,0.056,11.965,0.275,0.68,0.027,1.87,28.144,28.645,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
6,06/20А,chemistry_salinity_ions,60-100 см,60.0,100.0,0.1,0.003,0.3,0.018,5.6,0.199,5.8,0.28,2.0,0.04,2.0,0.024,7.718,0.178,0.303,0.012,0.75,11.781,12.021,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
6,06/20А,chemistry_salinity_ions,100-126 см,100.0,126.0,0.2,0.006,0.3,0.018,7.2,0.256,5.3,0.26,1.6,0.032,3.0,0.037,8.568,0.197,0.314,0.012,0.81,13.044,13.481,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
6,06/20А,chemistry_salinity_ions,126-150 см,126.0,150.0,0.2,0.006,0.3,0.018,7.2,0.256,7.6,0.36,2.4,0.048,3.2,0.039,9.417,0.217,0.4,0.016,0.96,15.254,15.417,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
