№ п/п;Место отбора ;Место отбора (глубина);CO3,             ммоль (экв) /100 г;CO3,            %;HCO3,             ммоль (экв) /100 г;HCO3,             %;Cl,             ммоль (экв) /100 г;Cl, %;SO4, ммоль/  100 г;SO4, %;Ca,             ммоль (экв) /100 г;Ca,            %;Mg,             ммоль (экв) /100 г;Mg,            %;Na, ммоль (экв) /100 г;Na, %;К, ммоль (экв) /100 г;К, %;Соленость, %;Сумма анионов;Сумма катионов;;CO3,             ммоль (экв) /100 г;HCO3,             ммоль (экв) /100 г;Cl,             ммоль (экв) /100 г;SO4, ммоль/  100 г;Ca,             ммоль (экв) /100 г;Mg,             ммоль (экв) /100 г;Na, ммоль (экв) /100 г;К, ммоль (экв) /100 г
26;;103-128 см;-;-;0,350;0,021;9,600;0,341;34,0;1,6;2,400;0,048;6,400;0,078;34,724;0,799;0,583;0,023;2,94;43,911;44,107;;;;;;;;;
27;;125-160 см;-;-;0,350;0,021;8,000;0,284;14,7;0,7;1,400;0,028;4,000;0,049;17,739;0,408;0,454;0,018;1,51;23,055;23,593;11;0;0,46;0,44;1,9;0,66;0,33;0,61;0,91
28;Разрез 6;0-30 см;-;-;0,350;0,021;2,800;0,099;14,3;0,7;12,400;0,248;1,800;0,022;3,472;0,080;0,400;0,016;1,17;17,417;18,072;;0;0,45;2,18;6,5;5,44;1,36;1,19;1,11
29;;30-60 см;-;-;0,400;0,024;5,600;0,199;22,1;1,06;11,400;0,228;4,600;0,056;11,965;0,275;0,680;0,027;1,87;28,144;28,645;;;;;;;;;
30;;60-100 см;0,100;0,003;0,300;0,018;5,600;0,199;5,8;0,28;2,000;0,040;2,000;0,024;7,718;0,178;0,303;0,012;0,75;11,781;12,021;12;0;0,45;0,41;0,4;0,53;0,53;0,1;0,03
31;;100-126 см;0,200;0,006;0,300;0,018;7,200;0,256;5,3;0,26;1,600;0,032;3,000;0,037;8,568;0,197;0,314;0,012;0,81;13,044;13,481;;0;0,45;0,53;1,3;0,88;0,84;0,37;0,13
32;;126-150 см;0,200;0,006;0,300;0,018;7,200;0,256;7,6;0,36;2,400;0,048;3,200;0,039;9,417;0,217;0,400;0,016;0,96;15,254;15,417;;;;;;;;;
33;Разрез 7 ;0-4 см;-;-;0,600;0,037;5,600;0,199;13,2;0,63;13,400;0,268;2,400;0,029;4,322;0,099;0,637;0,025;1,29;19,373;20,759;;;;;;;;;
34;;4-24 см;-;-;0,450;0,027;6,000;0,213;10,9;0,52;4,000;0,080;2,400;0,029;11,115;0,256;0,422;0,016;1,15;17,373;17,937;;;;;;;;;
35;;24-51 см;-;-;0,450;0,027;16,800;0,596;52,1;2,50;5,800;0,116;6,400;0,078;55,577;1,278;0,734;0,029;4,63;69,373;68,511;;;;;;;;;
36;;51-87 см;-;-;0,350;0,021;14,000;0,497;53,7;2,58;4,000;0,080;8,600;0,105;55,577;1,278;0,583;0,023;4,58;68,004;68,760;;;;;;;;;
37;;87-135 см;-;-;0,400;0,024;14,400;0,511;39,9;1,91;5,000;0,100;6,600;0,081;42,838;0,985;0,454;0,018;3,63;54,669;54,892;;;;;;;;;
38;Разрез 8 ;0-23 см;-;-;0,450;0,027;9,600;0,341;26,7;1,28;16,000;0,320;3,800;0,046;17,060;0,392;0,368;0,014;2,42;36,790;37,228;;;;;;;;;
39;;23-34 см;-;-;0,400;0,024;16,000;0,568;44,9;2,16;7,600;0,152;7,200;0,088;47,085;1,083;0,195;0,008;4,08;61,302;62,080;;;;;;;;;
40;;34-61 см;-;-;0,450;0,027;13,600;0,483;40,5;1,95;3,800;0,076;5,800;0,071;47,085;1,083;0,195;0,008;3,69;54,575;56,880;;;;;;;;;
41;;61-92 см;-;-;0,350;0,021;8,400;0,298;5,1;0,25;1,400;0,028;1,000;0,012;11,758;0,270;0,109;0,004;0,88;13,897;14,267;;;;;;;;;
42;;92-135 см;-;-;0,450;0,027;4,400;0,156;0,3;0,02;0,400;0,008;0,600;0,007;4,262;0,098;0,023;0,001;0,31;5,183;5,284;;;;;;;;;
43;Разрез 9;0-4 см;0,200;0,006;0,500;0,031;87,600;3,110;164,3;7,89;9,000;0,180;42,000;0,512;202,641;4,661;0,713;0,028;16,42;252,633;254,354;;;;;;;;;
44;;4-10 см;0,100;0,003;0,400;0,024;35,200;1,250;45,1;2,16;20,200;0,404;34,800;0,425;34,288;0,789;0,659;0,026;5,08;80,777;89,947;;;;;;;;;
45;;10-28 см;0,100;0,003;0,300;0,018;19,200;0,682;11,0;0,53;13,600;0,272;16,000;0,195;0,970;0,022;0,368;0,014;1,73;30,585;30,938;;;;;;;;;
46;;28-60 см;-;-;0,350;0,021;20,400;0,724;9,9;0,47;14,000;0,280;13,200;0,161;0,970;0,022;0,238;0,009;1,69;30,641;28,409;;;;;;;;;
