ID Разреза,Координаты Lat (N),Координаты Lon (E),Высота H (м),Глубина слоя верх (см),Глубина слоя ниж (см),Индекс горизонта,Цвет почвы (дословно),Структура и сложение,Вскипание от HCl (условия/глубина),"Наличие включений (ракушки, корни, гипс)",Влажность (сухой/свежий/влажный),Тип рельефа / Растительность (ассоциация),Источник (Стр. / Разрез №)
33/14,"45о 48' 50,0""","61о 50' 52,7""","26,8",39,58,С2g,Желтовато-светло-бурый с ржавыми и сизыми пятнами,супесчаный,с поверхности,н/д,влажный,Плоская поверхность / солянковая с кустарниками,Стр. 327 / Разрез 33/14 1
33/14,"45о 48' 50,0""","61о 50' 52,7""","26,8",58,100,С3g,Ржаво-желто-бурый с сизыми пятнами,"слабоуплотненный, легкосуглинистый",с поверхности,н/д,влажный,Плоская поверхность / солянковая с кустарниками,Стр. 327 / Разрез 33/14 1
34/14,"45о 48' 15,2""","61о 56' 04,9""","28,8",0,10,А1п,Темно-серый,"пахотный, уплотненный, пылевато-комковатый, тяжелосуглинистый",с поверхности,н/д,влажный,Рисовое поле,Стр. 327-328 / Разрез 34/14 1
34/14,"45о 48' 15,2""","61о 56' 04,9""","28,8",10,20,А2п,Темно-серый,"пахотный, уплотненный, пылевато-комковатый, тяжелосуглинистый",с поверхности,н/д,влажный,Рисовое поле,Стр. 328 / Разрез 34/14 1
34/14,"45о 48' 15,2""","61о 56' 04,9""","28,8",20,30,А3п,Темновато-серый,"пахотный, слабоуплотненный, комковатый, тяжелосуглинистый",с поверхности,н/д,влажный,Рисовое поле,Стр. 328 / Разрез 34/14 1
34/14,"45о 48' 15,2""","61о 56' 04,9""","28,8",30,60,ВС1,Желтовато-серый с ржавыми пятнами,супесчаный,с поверхности,н/д,н/д,Рисовое поле,Стр. 329 / Разрез 34/14 1
34/14,"45о 48' 15,2""","61о 56' 04,9""","28,8",60,100,С2,Буро-желтый,"бесструктурный, легкосуглинистый",с поверхности,н/д,влажный на дне сырой,Рисовое поле,Стр. 329 / Разрез 34/14 1
35/14,"45о 47' 55,7""","61о 34' 02,0""","32,0",0,6,А1,Буровато-серый,"плотный, слоистая корочка, комки разбиваются в порох, тяжелосуглинистый",слабо вскипает,н/д,сухой,Сильно нарушенная территория,Стр. 329-330 / Разрез 35/14 1
35/14,"45о 47' 55,7""","61о 34' 02,0""","32,0",6,18,А2ск,Серовато-темно-бурый,"плотный, пылевато-комковатый, тяжелосуглинистый",слабо вскипает,многочисленные соли,сухой,Сильно нарушенная территория,Стр. 330 / Разрез 35/14 1
35/14,"45о 47' 55,7""","61о 34' 02,0""","32,0",18,35,В1ск,Серовато-бурый,"плотный, комковатый, тяжелосуглинистый",слабо вскипает,соли,сухой,Сильно нарушенная территория,Стр. 331 / Разрез 35/14 1
35/14,"45о 47' 55,7""","61о 34' 02,0""","32,0",35,50,ВС,Желтовато-бурый,"плотный, глыбковый, тяжелосуглинистый",слабо вскипает,жилки солей,сухой,Сильно нарушенная территория,Стр. 331 / Разрез 35/14 1
35/14,"45о 47' 55,7""","61о 34' 02,0""","32,0",50,70,С1,Желтовато-светло-бурый,"плотный, тяжелосуглинистый",слабо вскипает,соли,сухой,Сильно нарушенная территория,Стр. 331 / Разрез 35/14 1
37/14,"45о 50' 24,8""","61о 33' 38,8""","28,1",0,10,А1,Серовато-темно-бурый,"слабоуплотненный, тяжелосуглинистый",с поверхности,жилки солей,свежий,Депрессия / низкий тростник,Стр. 331-332 / Разрез 37/14 1
37/14,"45о 50' 24,8""","61о 33' 38,8""","28,1",10,21,А2,Буровато-темновато-серый с сизым оттенком,"слабоуплотненный, неясно-комковатый, среднесуглинистый",с поверхности,н/д,влажный,Депрессия / низкий тростник,Стр. 332 / Разрез 37/14 1
37/14,"45о 50' 24,8""","61о 33' 38,8""","28,1",21,31,В1,Грязно-бурый,"слабоуплотненный, среднесуглинистый",с поверхности,н/д,влажный,Депрессия / низкий тростник,Стр. 332 / Разрез 37/14 1
37/14,"45о 50' 24,8""","61о 33' 38,8""","28,1",31,43,ВС,Желтовато-темно-бурый,"бесструктурный, среднесуглинистый",с поверхности,н/д,влажный,Депрессия / низкий тростник,Стр. 333 / Разрез 37/14 1
37/14,"45о 50' 24,8""","61о 33' 38,8""","28,1",43,110,С1,Желто-бурый с ржавыми пятнами,супесчаный,с поверхности,н/д,сырой но уже мокрый,Депрессия / низкий тростник,Стр. 333 / Разрез 37/14 1
