ID Разреза,Координаты Lat (N),Координаты Lon (E),Высота H (м),Глубина слоя верх (см),Глубина слоя ниж (см),Индекс горизонта,Цвет почвы (дословно),Структура и сложение,Вскипание от HCl (условия/глубина),"Наличие включений (ракушки, корни, гипс)",Влажность (сухой/свежий/влажный),Тип рельефа / Растительность (ассоциация),Источник (Стр. / Разрез №)
11А/12,"46о 03' 28,0""","60о 54' 10,6""",35,0,5,н/д,Серая,"плотная корка, ниже которой расположена рыхлая пороховидная подкорка, среднесуглинистая",с поверхности,среднечисленные ракушки,сухая,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",Стр. 212 / Разрез 11А/12
11А/12,"46о 03' 28,0""","60о 54' 10,6""",35,5,15,н/д,Серый с единичными ржавыми пятнами,"слабоуплотненный, крупитчато-крупно-пороховидный, среднесуглинистый",с поверхности,н/д,сухой,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",Стр. 212 / Разрез 11А/12
11А/12,"46о 03' 28,0""","60о 54' 10,6""",35,15,26,н/д,Грязновато-бурый с многочисленными ржавыми пятнами,"уплотненный, плитчато-мелкоореховатый, тяжелосуглиистый",с поверхности,н/д,слабоувлажненный,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",Стр. 212 / Разрез 11А/12
11А/12,"46о 03' 28,0""","60о 54' 10,6""",35,26,36,н/д,Грязновато-бурый с немногочисленными ржавыми пятнами,"уплотненный, плитчато-мелкоореховатый, тяжелосуглиистый",с поверхности,н/д,слабоувлажненный,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",Стр. 213 / Разрез 11А/12
11А/12,"46о 03' 28,0""","60о 54' 10,6""",35,36,70,н/д,Сизовато-ярко-бурый от многочисленных ржавых пятен,"плотный, плитчато-среднеорешковатый, тяжелосуглиистый",с поверхности,н/д,увлажненный,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",Стр. 213 / Разрез 11А/12
11А/12,"46о 03' 28,0""","60о 54' 10,6""",35,70,85,н/д,Грязновато-бурый от ржавых пятен,"плотный, плитчато-глыбковый, глинистый",с поверхности,н/д,увлажненный,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",Стр. 213 / Разрез 11А/12
12А/12,"46о 01' 45,9""","60о 46' 40,9""",32,0,5,н/д,Серая,"довольно прочная корка, и рыхлая пороховидная подкорка, легкосуглинистая",с поверхности,среднечисленные ракушки,сухая,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",Стр. 214 / Разрез 12А/12
12А/12,"46о 01' 45,9""","60о 46' 40,9""",32,5,15,н/д,Буровато-серый,"уплотненный, мелкокрупитчато-пороховидный, тяжелосуглинистый",с поверхности,н/д,увлажненный,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",Стр. 214 / Разрез 12А/12
12А/12,"46о 01' 45,9""","60о 46' 40,9""",32,15,33,н/д,Бурый с ржавыми пятнами,"уплотненный, мелко- и среднеорешковатый, тяжелосуглиистый",с поверхности,н/д,увлажненный,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",Стр. 214 / Разрез 12А/12
12А/12,"46о 01' 45,9""","60о 46' 40,9""",32,33,44,н/д,Сизый с ржавыми пятнами,"непрочно-комковатый, песчанистый",с поверхности,н/д,н/д,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",Стр. 215 / Разрез 12А/12
12А/12,"46о 01' 45,9""","60о 46' 40,9""",32,44,70,н/д,Сизый с ржавыми пятнами,"слабоуплотненный, непрочно-комковатый песчанистый, супесчаный",с поверхности,очень большое количество ракушечника (почти на 50 %),влажный,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",Стр. 215 / Разрез 12А/12
12А/12,"46о 01' 45,9""","60о 46' 40,9""",32,70,90,н/д,Сизый с редкими ржавыми пятнами,"слабоуплотненный, супесчаный",с поверхности,н/д,влажный,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",Стр. 215 / Разрез 12А/12
13А/12,"46о 00' 53,6""","60о 44' 21,6""",30,0,5,н/д,Серая,"довольно плотная корка с подкоркой пороховидной, среднесуглинистая",с поверхности,ракушки,сухая,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",Стр. 216 / Разрез 13А/12
13А/12,"46о 00' 53,6""","60о 44' 21,6""",30,5,12,н/д,Серый с ржавыми пятнами,"уплотненный, комковато-ореховатый с зернами, тяжелосуглинистый",с поверхности,н/д,сухой,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",Стр. 216 / Разрез 13А/12
13А/12,"46о 00' 53,6""","60о 44' 21,6""",30,12,22,н/д,Сизый с многочисленными ржавыми пятнами,"уплотненный, комковато-орешковатый, среднесуглиистый",с поверхности,с корешками,увлажненный,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",Стр. 216 / Разрез 13А/12
13А/12,"46о 00' 53,6""","60о 44' 21,6""",30,22,40,н/д,Сизый с буроватым оттенком и с ржавыми пятнами,"непрочно-комковато-песчанистый, легкосуглинитый",с поверхности,н/д,н/д,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",Стр. 217 / Разрез 13А/12
13А/12,"46о 00' 53,6""","60о 44' 21,6""",30,40,60,н/д,Сизовато-ржавый,"слабоуплотненный, суглинисто-песчанисто-ракушечниковый горизонт, среднесуглинистый",с поверхности,ракушечник,влажный,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",Стр. 217 / Разрез 13А/12
13А/12,"46о 00' 53,6""","60о 44' 21,6""",30,60,85,н/д,Грязновато-сизовато-бурый,"уплотненный, пластинчато-глыбковый песчанисто-суглинистый горизонт",с поверхности,н/д,влажный,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",Стр. 217 / Разрез 13А/12
14А/12,"46о 01' 09,9""","60о 43' 47,3""",26,0,5,н/д,Серая,"довольно плотная корка, среднесуглинистая",с поверхности,включениями ракушечника,сухая,Плоская поверхность / засохшей солянковой растительностью,Стр. 218 / Разрез 14А/12
14А/12,"46о 01' 09,9""","60о 43' 47,3""",26,5,11,н/д,Бурый,"рыхлый, непрочно-комковато-порошистый, среднесуглинистый",с поверхности,н/д,увлажненный,Плоская поверхность / засохшей солянковой растительностью,Стр. 218 / Разрез 14А/12
14А/12,"46о 01' 09,9""","60о 43' 47,3""",26,11,21,н/д,Бурый с ржавыми пятнами,"уплотненный, творожистый, тяжелосуглинистый",с поверхности,н/д,влажный,Плоская поверхность / засохшей солянковой растительностью,Стр. 218 / Разрез 14А/12
14А/12,"46о 01' 09,9""","60о 43' 47,3""",26,21,30,н/д,Бурый,"плотный, глыбково-ореховатый, глинистый",с поверхности,с ракушечником,влажный,Плоская поверхность / засохшей солянковой растительностью,Стр. 218 / Разрез 14А/12
14А/12,"46о 01' 09,9""","60о 43' 47,3""",26,30,80,н/д,Сизый с ржавыми пятнами,"слабоуплотненный, непрочно-глыбковый супесчаный горизонт",с поверхности,н/д,влажный,Плоская поверхность / засохшей солянковой растительностью,Стр. 219 / Разрез 14А/12
15А/12,"46о 01' 16,9""","60о 41' 57,1""",30,0,6,н/д,Серая,"корка с подкоркой, плотная, трещины шириной до 0,5-1,1 см, среднесуглинистая с примесью песка",с поверхности,н/д,сухая,"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",Стр. 220 / Разрез 15А/12
15А/12,"46о 01' 16,9""","60о 41' 57,1""",30,6,16,н/д,Бурый с сероватым оттенком,"слабоуплотненный, непрочно-комковатый с зернышками, тяжеловатый средний суглинок",с поверхности,корешковатый,сухой,"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",Стр. 220 / Разрез 15А/12
15А/12,"46о 01' 16,9""","60о 41' 57,1""",30,16,27,н/д,Бурый,"слабоуплотненный, комковато-плитчатый, тяжеловатый средний суглинок",с поверхности,прожилки солей,влажный,"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",Стр. 220 / Разрез 15А/12
15А/12,"46о 01' 16,9""","60о 41' 57,1""",30,27,55,н/д,Грязновато-бурый с многочисленными ржавыми пятнами,"слабоуплотненный, среднесуглинистый",с поверхности,ракушки и прожилки солей,влажный,"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",Стр. 221 / Разрез 15А/12
