ID Разреза,Координаты Lat (N),Координаты Lon (E),Высота H (м),Глубина слоя верх (см),Глубина слоя ниж (см),Индекс горизонта,Цвет почвы (дословно),Структура и сложение,Вскипание от HCl (условия/глубина),"Наличие включений (ракушки, корни, гипс)",Влажность (сухой/свежий/влажный),Тип рельефа / Растительность (ассоциация),Источник (Стр. / Разрез №)
15А/12,"46о 01' 16,9""","60о 41' 57,1""",30,55,85,н/д,Сизый с многочисленными ржавыми пятнами,"уплотненный, глинистый горизонт",с поверхности,с ракушечником,влажный,"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",Стр. 221 / Разрез 15А/12
16А/12,"45о 43' 11,0""","60о 15' 14,6""",24,0,5,н/д,Серая,"плотная корка с рыхлой подкоркой, почти на 100 % состоит из соли",с поверхности,включения ракушечника,слабоувлажненная,Плоская поверхность / единичными мелкими солянками,Стр. 222 / Разрез 16А/12
16А/12,"45о 43' 11,0""","60о 15' 14,6""",24,5,11,н/д,Грязновато(серовато)-бурый с ржавыми пятнами,"непрочно-комковато-творожистый, тяжеловатый средний суглинок",с поверхности,блестки солей,почти влажный,Плоская поверхность / единичными мелкими солянками,Стр. 222 / Разрез 16А/12
16А/12,"45о 43' 11,0""","60о 15' 14,6""",24,11,20,н/д,Сизовато-бурый с ржавыми пятнами,"слабоуплотненный, глыбково-комковатый, суглинисто-песчанистый",с поверхности,прожилки солей,влажный,Плоская поверхность / единичными мелкими солянками,Стр. 223 / Разрез 16А/12
16А/12,"45о 43' 11,0""","60о 15' 14,6""",24,20,34,н/д,Сизовато-светло-бурый,"уплотненный, глыбково-комковатый, суглинисто-песчанистый",с поверхности,н/д,влажный,Плоская поверхность / единичными мелкими солянками,Стр. 223 / Разрез 16А/12
16А/12,"45о 43' 11,0""","60о 15' 14,6""",24,34,55,н/д,"По цвету чуть темнее, в остальном аналог предыдущего","уплотненный, глыбково-комковатый, суглинисто-песчанистый",с поверхности,н/д,влажный,Плоская поверхность / единичными мелкими солянками,Стр. 223 / Разрез 16А/12
16А/12,"45о 43' 11,0""","60о 15' 14,6""",24,55,90,н/д,Грязновато-желтоватый,слабоуплотненный песок,с поверхности,мелкие блестки солей,влажный,Плоская поверхность / единичными мелкими солянками,Стр. 223 / Разрез 16А/12
17А/12,"45о 43' 29,1""","60о 15' 33,6""",22,0,5,н/д,Серый,"плотный ракушечниково-корковый горизонт, под ним пылевато-рыхлая подкорка",с поверхности,ракушки,сухой,"Плоская поверхность, широкая ложбина / солянковой растительностью",Стр. 224 / Разрез 17А/12
17А/12,"45о 43' 29,1""","60о 15' 33,6""",22,5,10,н/д,Грязновато-серый с немногочисленными ржавыми пятнами,песчаный,с поверхности,н/д,увлажненный,"Плоская поверхность, широкая ложбина / солянковой растительностью",Стр. 224 / Разрез 17А/12
17А/12,"45о 43' 29,1""","60о 15' 33,6""",22,10,21,н/д,Темновато-серый слегка буроватый с многочисленными ржавыми пятнами,"слабоуплотненный, песчанистый горизонт",с поверхности,н/д,влажный,"Плоская поверхность, широкая ложбина / солянковой растительностью",Стр. 224 / Разрез 17А/12
17А/12,"45о 43' 29,1""","60о 15' 33,6""",22,21,90,н/д,Грязновато-бурый со среднечисленными ржавыми пятнами,"слабоуплотненный, песчанистый горизонт",с поверхности,н/д,влажный,"Плоская поверхность, широкая ложбина / солянковой растительностью",Стр. 225 / Разрез 17А/12
18А/12,"45о 43' 50,6""","60о 16' 16,5""",23,0,5,н/д,Белесоватая,"твердая корка (2-3 см), ниже соленосная рыхлая подкорка",с поверхности,соли,н/д,Плоская поверхность / единичные кустики солянок,Стр. 226 / Разрез 18А/12
18А/12,"45о 43' 50,6""","60о 16' 16,5""",23,5,19,н/д,Грязновато-бурая с ржавыми пятнами,"уплотненная, творожистая глинистая масса",с поверхности,н/д,влажная,Плоская поверхность / единичные кустики солянок,Стр. 226 / Разрез 18А/12
18А/12,"45о 43' 50,6""","60о 16' 16,5""",23,19,31,н/д,Сизый с ржавыми пятнами,"уплотненный, глыбковый, глинистый",с поверхности,н/д,влажный,Плоская поверхность / единичные кустики солянок,Стр. 226 / Разрез 18А/12
18А/12,"45о 43' 50,6""","60о 16' 16,5""",23,31,48,н/д,Темно-бурый с ржавыми пятнами,"плотный, глыбково-ореховатый, глинистый",с поверхности,н/д,влажный,Плоская поверхность / единичные кустики солянок,Стр. 226 / Разрез 18А/12
18А/12,"45о 43' 50,6""","60о 16' 16,5""",23,48,64,н/д,Ярко-бурый с ржавыми пятнами,"уплотненный, творожистый, глинистый",с поверхности,н/д,влажный,Плоская поверхность / единичные кустики солянок,Стр. 226 / Разрез 18А/12
18А/12,"45о 43' 50,6""","60о 16' 16,5""",23,64,90,н/д,Сизый с многочисленными ржавыми пятнами,"уплотненный, бесструктурный, глинистый",с поверхности,н/д,влажный (почти сырой),Плоская поверхность / единичные кустики солянок,Стр. 226 / Разрез 18А/12
19А/12,"45о 42' 48,4""","60о 17' 36,3""",20,0,4,н/д,н/д,"Твердая солевая корка, а под ней рыхлая солевая подкорка",с поверхности,соли,увлажненная,Плоская поверхность / редкие мелкие единичные кустики солянок,Стр. 227 / Разрез 19А/12
19А/12,"45о 42' 48,4""","60о 17' 36,3""",20,4,10,н/д,Грязновато-бурый с ржавыми пятнами,творожистый тяжелосуглинистый соленосный горизонт,с поверхности,соли,н/д,Плоская поверхность / редкие мелкие единичные кустики солянок,Стр. 227 / Разрез 19А/12
19А/12,"45о 42' 48,4""","60о 17' 36,3""",20,10,20,н/д,Бурый с ржавыми пятнами,"довольно плотный, глыбково-ореховатый, глинистый",с поверхности,видимые выделения солей,влажный,Плоская поверхность / редкие мелкие единичные кустики солянок,Стр. 228 / Разрез 19А/12
19А/12,"45о 42' 48,4""","60о 17' 36,3""",20,20,35,н/д,Сизый с многочисленными ржавыми пятнами,"уплотненный, непрочно-глыбковый, суглинисто-песчанистый горизонт",с поверхности,н/д,влажный,Плоская поверхность / редкие мелкие единичные кустики солянок,Стр. 228 / Разрез 19А/12
19А/12,"45о 42' 48,4""","60о 17' 36,3""",20,35,75,н/д,Сизый с многочисленными ржавыми пятнами,"плотный, глыбковый, глинистый горизонт",с поверхности,прожилки солей,влажный,Плоская поверхность / редкие мелкие единичные кустики солянок,Стр. 228 / Разрез 19А/12
20А/12,"45о 42' 32,3""","60о 19' 00,7""",20,0,5,н/д,Светло-серая,"непрочная корочка, ниже суглинисто-песчанистый рыхлый горизонт, легкосуглинистый",с поверхности,н/д,сухая,"Бугристая плоская равнина, место старого городища / карабарак, солянки",Стр. 229 / Разрез 20А/12
20А/12,"45о 42' 32,3""","60о 19' 00,7""",20,5,11,н/д,Светло-серый слегка буроватый,"слабоуплотненный, непрочно-комковато-пылеватый, легкосуглинистый",с поверхности,н/д,свежий,"Бугристая плоская равнина, место старого городища / карабарак, солянки",Стр. 229 / Разрез 20А/12
20А/12,"45о 42' 32,3""","60о 19' 00,7""",20,11,23,н/д,Грязновато-буроватый,"слабоуплотненный, непрочно-комковато-пылеватый, легкосуглинистый",с поверхности,мелкие остатки ракушечника,слабоувлажненный,"Бугристая плоская равнина, место старого городища / карабарак, солянки",Стр. 229 / Разрез 20А/12
20А/12,"45о 42' 32,3""","60о 19' 00,7""",20,23,42,н/д,Темновато-бурый,"слабоуплотненный, комковато-творожистый, среднесуглинистый",с поверхности,прожилки солей,слабоувлажненный,"Бугристая плоская равнина, место старого городища / карабарак, солянки",Стр. 230 / Разрез 20А/12
20А/12,"45о 42' 32,3""","60о 19' 00,7""",20,42,100,н/д,Сизовато-бурый со сплошными ржавыми пятнами,"довольно плотный, глыбково-орешковатый, глинистый",с поверхности,прожилки солей (или карбонатов),увлажненный,"Бугристая плоская равнина, место старого городища / карабарак, солянки",Стр. 230 / Разрез 20А/12
22А/12,"45о 41' 51,7""","60о 25' 14,9""",25,0,5,н/д,Палево-серая,"непрочная корочка, под ней буроватый от ржавых пятен подкорка легкого механического состава",с поверхности,н/д,сухая,Плоская поверхность / лебедой солончаковой,Стр. 231 / Разрез 22А/12
22А/12,"45о 41' 51,7""","60о 25' 14,9""",25,5,12,н/д,Бурый с серизной,"слабоуплотненный, непрочно-комковато-пылеватый, легкосуглинистый горизонт",с поверхности,мелкоракушечниковый,сухой,Плоская поверхность / лебедой солончаковой,Стр. 231 / Разрез 22А/12
22А/12,"45о 41' 51,7""","60о 25' 14,9""",25,12,30,н/д,Бурый,"слабоуплотненный, непрочно-комковато-крупнопылеватый, легкосуглинистый горизонт",с поверхности,множественные включения ракушечников,свежий,Плоская поверхность / лебедой солончаковой,Стр. 232 / Разрез 22А/12
22А/12,"45о 41' 51,7""","60о 25' 14,9""",25,30,42,н/д,Сизый с многочисленными ржавыми пятнами,"слабоуплотненный, непрочно-комковатый песчанистый горизонт",с поверхности,н/д,увлажненный,Плоская поверхность / лебедой солончаковой,Стр. 232 / Разрез 22А/12
22А/12,"45о 41' 51,7""","60о 25' 14,9""",25,42,80,н/д,Бурый с многочисленными ржавыми пятнами,"плотный, тяжелосуглинистый",с поверхности,блестки солей,влажный,Плоская поверхность / лебедой солончаковой,Стр. 232 / Разрез 22А/12
23А/12,"45о 46' 39,4""","60о 27' 52,4""",28,0,7,н/д,Серая,непрочная корка и подкорка легкого механического состава,с поверхности,н/д,сухая,Плоская поверхность / солянковой растительностью,Стр. 233 / Разрез 23А/12
23А/12,"45о 46' 39,4""","60о 27' 52,4""",28,7,13,н/д,Бурый,"рыхлый, легкосуглинистый",с поверхности,с корешками,свежий,Плоская поверхность / солянковой растительностью,Стр. 233 / Разрез 23А/12
23А/12,"45о 46' 39,4""","60о 27' 52,4""",28,13,25,н/д,Бурый с небольшой серизной и с ржавыми пятнами,"слабоуплотненный, непрочно-комковато-пылеватый, легкосуглинистый",с поверхности,н/д,свежий,Плоская поверхность / солянковой растительностью,Стр. 233 / Разрез 23А/12
23А/12,"45о 46' 39,4""","60о 27' 52,4""",28,25,43,н/д,Бурый с многочисленными ржавыми пятнами,"уплотненный, комковато-пластинчатый, среднесуглинистый",с поверхности,н/д,слабоувлажненный,Плоская поверхность / солянковой растительностью,Стр. 234 / Разрез 23А/12
23А/12,"45о 46' 39,4""","60о 27' 52,4""",28,43,65,н/д,Темно-бурый с многочисленными ржавыми пятнами,"уплотненный комковато-орешковатый, тяжелосуглинистый",с поверхности,н/д,слабоувлажненный,Плоская поверхность / солянковой растительностью,Стр. 234 / Разрез 23А/12
23А/12,"45о 46' 39,4""","60о 27' 52,4""",28,65,85,н/д,"Желтовато-бурый, без ржавых пятен","уплотненный, непрочно-комковато-пылеватый, среднесуглинистый",с поверхности,н/д,увлажненный,Плоская поверхность / солянковой растительностью,Стр. 234 / Разрез 23А/12
24А/12,"45о 47' 21,8""","60о 26' 40,2""",27,0,4(5),н/д,Серая,довольно твердая корка с солью и с подкоркой легкого механического состава,с поверхности,"соли, ракушки",сухая,Плоская поверхность / солянковой растительностью,Стр. 235 / Разрез 24А/12
24А/12,"45о 47' 21,8""","60о 26' 40,2""",27,4,14,н/д,Темновато-бурый с серизной и с редкими ржавыми пятнами,"комковато-творожистый, тяжелосуглинистый",с поверхности,вертикальные сгнившие корни,увлажненный (влажный),Плоская поверхность / солянковой растительностью,Стр. 235 / Разрез 24А/12
24А/12,"45о 47' 21,8""","60о 26' 40,2""",27,14,32,н/д,Чуть светлее предыдущего,"комковато-творожистый, тяжеловатый средний суглинок",с поверхности,н/д,н/д,Плоская поверхность / солянковой растительностью,Стр. 236 / Разрез 24А/12
24А/12,"45о 47' 21,8""","60о 26' 40,2""",27,32,50,н/д,Светло-бурый,непрочно-комковато-песчанистый,с поверхности,н/д,влажный,Плоская поверхность / солянковой растительностью,Стр. 236 / Разрез 24А/12
24А/12,"45о 47' 21,8""","60о 26' 40,2""",27,50,85,н/д,Палево-бурый,отсортированный песок без ржавых пятен,с поверхности,н/д,н/д,Плоская поверхность / солянковой растительностью,Стр. 236 / Разрез 24А/12
